"Tuning","TP","FN","TN","FP","precision","recall","f1","accuracy"
"combo 12",1509535.27605174,1588569.19965991,43543788.6376249,2200050.05378651,0.406928306490138,0.487244793675007,0.443479453138745,0.922431029402683
"combo 5",1486925.8574341,1611178.61827756,43677821.5020522,2066017.18935922,0.418505401817829,0.479946970507681,0.447125314441921,0.924712335972087
"combo 6",1411988.15263775,1686116.32307391,43926408.9217305,1817429.76968083,0.437226827435207,0.455758727217682,0.446300483449036,0.928267675985646
"combo 7",1513192.61316499,1584911.86254666,43612569.7679635,2131268.92344786,0.415203342925481,0.488425301673341,0.448847696974439,0.92391414949895
"recovery threshold 0.75",1346368.21587367,1751736.25983798,44060070.3357728,1683768.3556386,0.444325918683503,0.434578054558474,0.439397930172336,0.929660771199842
"defaults",939588.629023333,2158515.84668832,44883295.5275216,860543.16388977,0.521955466106636,0.303278548670475,0.38364365355007,0.9381871642525
